Fecha;Temperatura condensador (°C);Temperatura salida licor intercambiador (°F);Temperatura licor pierna separador (°C);Temperatura de licor pesado salida preenfriador (°C);Presión de vapor calderas (psi);Presión en bomba de vacío (in Hg)
4/18/2020 7:09 AM;60;200;60,9;41;103;21
4/18/2020 3:10 PM;54;184;54,6;42;114;21
4/18/2020 7:00 PM;59;200;59;40;110;21
4/19/2020 7:00 AM;56;188;57;41;110;21
4/19/2020 11:00 AM;54;178;55;40;110;22
4/19/2020 12:00 PM;55;176;55;43;110;21
4/19/2020 3:00 PM;64;204;65;40;110;21
4/19/2020 7:00 PM;61;196;61;41;110;21
4/20/2020 5:22 AM;61;188;61;43;110;21
4/20/2020 7:00 AM;54;180;55;40;110;21
4/20/2020 11:00 AM;52;166;53;42;110;22
4/20/2020 3:00 PM;54;172;55;42;110;22
4/20/2020 6:06 PM;60;178;60,5;39;114;21,6
4/21/2020 5:04 AM;64;180;64,6;40;114;21
4/21/2020 7:00 AM;55;182;56;41;110;21
4/21/2020 11:00 AM;55;180;56;38;100;22
4/21/2020 3:00 PM;52;168;53;41;110;22
4/21/2020 6:08 PM;50;156;51,2;39;116;21,9
4/21/2020 10:54 PM;58;190;58,7;40;110;21
4/22/2020 7:00 AM;58;194;58,8;42;110;20
4/22/2020 11:00 AM;58;182;58;41;105;20
4/22/2020 7:00 PM;58;164;59;38;110;22
4/22/2020 11:00 PM;63;204;64;40;110;20
4/23/2020 7:00 AM;62;204;62;41;110;20
4/23/2020 12:02 PM;60;194;60;42;110;20,5
4/23/2020 7:00 PM;58;164;59;41;110;20
4/23/2020 11:00 PM;55;180;56;41;110;21
4/24/2020 11:02 AM;55;170;55;41;115;21
4/24/2020 4:00 PM;54;170;54;41;110;21,5
4/24/2020 7:00 PM;51;182;52;41;110;20
4/25/2020 3:00 AM;65;188;65;41;110;20
4/25/2020 9:58 AM;57;177;57,5;40;112;21
4/25/2020 3:01 PM;53;166;54,3;42;114;21,7
4/25/2020 7:00 PM;53;168;53;41;110;22
4/26/2020 12:00 AM;54;172;54;40;110;21,5
4/26/2020 4:13 AM;63;204;63;40;105;20
4/26/2020 5:58 AM;60;196;60,8;39;112;20,6
4/26/2020 1:57 PM;49;158;50,4;40;94;21,7
4/26/2020 7:00 PM;54;184;54;42;110;21
4/27/2020 12:00 AM;52;170;52;39;110;21
4/27/2020 3:00 AM;57,5;188;57;40;110;20,5
4/27/2020 4:00 AM;58;190;58;41;110;20,5
4/27/2020 1:20 AM;53;178;53,8;41;110;21,4
4/27/2020 8:00 PM;56;180;56;43;110;21
4/28/2020 4:01 AM;58;184;58;41;100;20
4/28/2020 11:00 AM;61;168;62;41;110;22
4/28/2020 6:16 PM;54;162;54,3;42;113;21,3
4/29/2020 12:57 AM;56;176;56,1;41;109;20,6
4/29/2020 6:22 AM;53;162;53,5;40;110;21
4/29/2020 11:00 AM;52;168;53;40;110;22
4/30/2020 2:14 AM;59;190;59,2;39;109;21
4/30/2020 7:00 AM;54;174;54,4;40;110;20
4/30/2020 5:00 PM;54;170;54;41;110;20
4/30/2020 7:00 PM;61;200;62;41;100;20
4/30/2020 11:00 PM;55;178;56;41;110;20
5/1/2020 3:00 AM;53;170;54;41;110;20
5/1/2020 7:14 AM;64;198;64;40;110;20,5
5/1/2020 5:00 PM;54;168;54;40;110;21
5/1/2020 7:00 PM;54;164;53;40;110;20
5/1/2020 11:00 PM;54;158;55;40;110;20
5/2/2020 3:00 AM;54;164;55;40;110;20
5/2/2020 7:10 AM;54;170;54;42;110;21
5/2/2020 12:00 PM;57;182;57;40;110;21
5/2/2020 7:00 PM;62,3;172;62,8;40;110;20
5/3/2020 7:00 PM;60;180;58;40;105;20
5/4/2020 5:00 AM;60;170;60;42;105;20
5/4/2020 6:06 AM;59;170;59,5;43;113;21
5/4/2020 11:00 PM;55;174;55;44;110;21,6
5/5/2020 1:14 AM;60;194;61;42;110;21
5/5/2020 4:10 AM;55;178;55;42;105;21
5/5/2020 6:25 AM;56;164;56,7;40;110;21,3
5/6/2020 12:00 AM;54;180;54;43;110;21
5/6/2020 4:00 AM;61;180;61;45;115;21
5/6/2020 7:00 AM;55;178;56,3;43;110;21
5/6/2020 11:00 AM;55;178;56;42;110;22
5/6/2020 3:00 PM;56;178;57;41;110;20
5/6/2020 7:07 AM;52;162;52,3;42;112;21,2
5/7/2020 3:22 AM;56;180;56,8;44;114;21
5/7/2020 7:00 AM;52;160;51;40;110;20
5/7/2020 11:00 AM;57;186;58;40;110;22
5/7/2020 7:23 AM;58;168;58,2;42;110;21
5/8/2020 3:07 AM;52;166;52,8;42;110;20,7
5/8/2020 7:00 AM;61;180;61;42;110;20
5/8/2020 9:00 PM;59;198;60;42;110;20
5/8/2020 11:00 PM;54;168;55;44;100;20
5/9/2020 3:00 AM;52;164;53;42;110;22
5/9/2020 7:00 AM;56;178;56;40;105;21,5
5/9/2020 11:06 AM;55;170;55;40;115;21,5
5/9/2020 7:00 PM;57;182;58;41;110;20
5/9/2020 11:00 PM;54;184;55;43;110;20
5/10/2020 3:00 AM;53;178;54;44;110;20
5/10/2020 7:00 AM;55;170;55;43;110;21
5/10/2020 11:00 PM;53;168;54;43;110;20
5/11/2020 3:00 AM;63;174;62;43;110;20
5/11/2020 7:03 AM;54;170;54;43;110;21
5/11/2020 11:00 PM;56;158;55;41;110;20
5/12/2020 1:02 AM;55;164;55,8;42;116;20,3
5/12/2020 5:00 AM;62;178;63;42;110;20
5/13/2020 12:00 AM;55;178;55;43;110;21
5/13/2020 1:11 AM;61;198;61,8;41;112;20
5/13/2020 4:14 AM;53;170;53;42;110;21
5/13/2020 6:24 AM;54;53;54,8;42;107;20
5/13/2020 11:00 PM;60,2;192;60;43;110;21
5/14/2020 5:11 AM;56;182;56;41;110;21
5/14/2020 7:00 AM;57;168;58;42,7;110;20
5/14/2020 11:00 AM;56;178;57;41,6;110;20
5/14/2020 9:50 AM;56;180;56,7;42,6;115;21
5/15/2020 3:01 AM;54;166;54,6;42,9;112;20,6
5/15/2020 7:00 AM;55;178;57;41,6;110;20
5/15/2020 11:00 AM;60;172;61;40;110;20
5/15/2020 9:17 AM;56;162;56,4;41,9;110;21
5/16/2020 4:59 AM;57;176;57,5;42,4;110;21
5/16/2020 7:00 AM;56;174;56;42,8;110;20
5/16/2020 5:00 PM;58;182;59;42;105;20
5/16/2020 11:00 PM;56;182;57;45;100;20
5/17/2020 3:00 AM;54;174;55;43,6;110;20
5/17/2020 7:10 AM;56;180;56;42;110;21
5/17/2020 12:00 PM;59;188;59;42;110;21,5
5/17/2020 5:09 PM;57,1;180;57;41;110;21
5/21/2020 3:01 AM;54;144;54,6;44;110;20
5/21/2020 7:47 AM;53;160;53,6;41;110;21,5
5/21/2020 9:00 PM;55;166;55;38,9;110;20
5/22/2020 4:18 AM;53;172;53;40;110;21
5/22/2020 6:13 AM;60,8;190;60;40;110;21
5/22/2020 3:00 PM;57;192;56;40;110;22
5/23/2020 1:08 AM;56;184;57,4;39,6;110;21,2
5/23/2020 6:16 AM;55;180;55,6;39,6;110;51,9
5/23/2020 3:00 PM;60;204;61;40;110;22
5/24/2020 3:06 AM;56;180;56,7;41,1;112;21
5/24/2020 7:00 AM;54;170;54,8;40;110;20
5/24/2020 6:19 AM;52;164;52,4;39,6;110;21,6
5/25/2020 7:00 AM;54;168;54;40;110;20
5/25/2020 5:00 PM;56;182;57;40;110;20
5/25/2020 5:00 PM;56;168;56;38;110;20
5/25/2020 7:00 PM;54;164;55;40;100;20
5/25/2020 11:00 PM;54;164;55;40;110;20
5/26/2020 3:00 AM;54;164;55;40;110;20
5/26/2020 7:19 AM;56;172;56;42;110;21
5/26/2020 5:00 PM;58;186;58;39;110;22
5/26/2020 7:00 PM;52;182;53;39;110;22
5/26/2020 11:00 PM;54;180;55;40;100;22
5/27/2020 3:00 AM;60;178;61;40;110;40
5/27/2020 7:12 AM;56;170;56;40;110;20
5/27/2020 7:00 PM;51;160;51;39;110;20
5/28/2020 1:52 AM;60;198;60,7;40,6;110;20,8
5/28/2020 5:00 AM;53;160;54;40;110;20
5/28/2020 6:01 AM;57;162;57,1;40,1;113;21,5
5/28/2020 10:00 PM;54;176;54;41;110;21
5/29/2020 1:56 AM;54;172;55,3;39,3;110;20,8
5/29/2020 4:11 AM;63;180;63;39;105;21
5/29/2020 6:40 AM;54;160;55,7;40,3;110;20,5
5/30/2020 1:00 AM;54;172;54;43;105;21
5/30/2020 4:18 AM;54;168;54;39;110;21
5/30/2020 5:57 AM;55;180;56,6;40,7;94;21
5/30/2020 7:00 AM;50;162;51;40;110;22
5/30/2020 11:00 AM;50;160;51;40;110;22
5/30/2020 3:00 PM;53;174;54;41;110;21
5/31/2020 2:11 AM;55;166;55,8;41,2;112;19,8
5/31/2020 6:07 AM;56;188;58;40,1;110;21
5/31/2020 7:00 AM;55;164;56;41,5;110;20
5/31/2020 11:00 AM;60;200;61;39;110;21
5/31/2020 3:00 PM;51;160;52;40;110;21
6/1/2020 6:05 AM;56;160;56,7;42,6;160;21
6/1/2020 7:00 AM;55;180;56;41;110;20
6/1/2020 12:53 PM;53;178;54,5;41,7;110;21,4
6/1/2020 3:00 PM;55;152;56;44;110;20
6/2/2020 7:00 AM;54;164;55;42;100;20
6/2/2020 5:00 PM;58;170;58,4;43,2;110;20
6/2/2020 7:00 PM;57;168;58;42;110;22
6/3/2020 11:00 AM;56;184;56;45;90;21,5
6/3/2020 4:00 PM;54;180;54;43;110;21,5
6/3/2020 7:00 PM;51;160;52;42;110;20
6/4/2020 7:08 AM;60;202;60;44;105;20,5
6/4/2020 5:00 PM;54;172;54;45;110;21,5
6/4/2020 7:00 PM;57;190;58;42;110;20
6/5/2020 5:00 AM;56;180;56,5;41;100;20
6/5/2020 6:06 AM;56;176;58;40,5;107;21
6/1/2020 11:00 AM;51;164;52;44;110;20
6/5/2020 3:15 AM;54;168;54,7;41,5;110;21,3
6/5/2020 7:00 PM;54;178;54;43;110;21,5
6/5/2020 11:00 PM;53;170;53;42;110;21,5
6/6/2020 1:00 AM;60;182;59,8;42,5;107;21,7
6/6/2020 4:05 AM;54;170;54;42;110;21
6/6/2020 6:12 AM;54;178;54,8;41,9;110;21
6/6/2020 11:00 PM;57,5;174;57;41;110;21
6/7/2020 4:13 AM;54;170;54;41;110;21
6/7/2020 7:00 AM;54;172;55;42;110;20
6/7/2020 11:00 AM;55;176;56;42,5;110;22
6/7/2020 3:00 PM;55;172;56;41;110;20
6/7/2020 11:00 PM;54;172;54;42,3;110;20,5
6/8/2020 4:15 AM;54;178;54;42;110;21
6/8/2020 7:00 AM;53;172;54;42,2;110;21
6/8/2020 11:00 AM;56;180;57;42,7;110;22
6/8/2020 3:00 PM;62;204;63;43;110;21
6/8/2020 7:56 AM;58;190;58,4;41,3;110;21
6/9/2020 3:53 AM;57;190;58,2;41,7;110;21
6/9/2020 7:00 AM;57;186;58;42,2;110;21
6/9/2020 11:00 AM;60;20,2;61;41,7;110;20
6/9/2020 10:03 AM;51;164;52,3;42,3;100;21,2
6/10/2020 4:06 AM;54;176;55;42,7;110;20,5
6/10/2020 8:00 AM;51;164;53,3;40,8;110;20
6/10/2020 5:00 PM;55;170;56;42,3;110;20
6/11/2020 7:10 AM;57;180;57;40;105;21
6/11/2020 10:00 AM;55;178;57;39;110;21
6/11/2020 4:00 PM;52;170;54;39;100;21
6/11/2020 7:00 PM;63;192;63,9;41,5;110;20
6/12/2020 8:00 AM;56;174;55;40,1;100;21
6/12/2020 12:00 PM;55;188;55;42;110;21
6/12/2020 3:00 PM;54;178;54;41;110;22
6/12/2020 7:00 PM;60;186;61;40;110;20
6/13/2020 5:00 AM;60;184;60,5;40,3;110;20
6/13/2020 6:08 AM;61;184;61,5;42,1;110;21
5/3/2020 7:11 AM;48;148;49;40;111;21,5
6/13/2020 3:16 AM;55;158;54,5;41,9;112;21
6/13/2020 7:00 PM;56;170;56;41;110;21
6/14/2020 1:25 AM;57;180;57;45;85;22
6/14/2020 4:16 AM;55;164;56,1;41,7;114;21
6/14/2020 4:57 AM;50;162;50,4;39;110;22
6/14/2020 7:22 AM;55;170;56,1;40,8;110;21
6/14/2020 12:00 PM;54;170;54;40;105;21
6/15/2020 2:00 AM;54;176;54;40;110;21
6/15/2020 2:56 AM;55;164;54,7;40,9;115;21
6/15/2020 4:52 AM;55;180;55;41;110;22
6/15/2020 7:07 AM;55;162;55,3;39,9;110;20
6/15/2020 8:00 PM;55;168;55;40;105;20,5
6/16/2020 4:56 AM;55;170;55;42;110;21
6/16/2020 6:01 AM;54;164;55,1;41;110;21
6/17/2020 6:24 AM;54;164;55,2;40,8;110;21
6/17/2020 5:00 PM;50;160;51;39;110;20
6/18/2020 4:10 AM;55;164;55,7;40,8;112;20
6/18/2020 5:00 PM;54;168;54,9;40;110;20
6/19/2020 7:20 AM;55;168;55;42;110;22
6/19/2020 12:00 PM;54;156;54;43;110;21
6/19/2020 4:00 PM;55;160;55;42;110;21
6/19/2020 7:00 PM;54;162;55;42;110;20
6/20/2020 5:00 AM;56;182;55,8;42,8;110;20
6/20/2020 7:00 AM;54;164;54;41;110;21
6/20/2020 11:00 AM;55;158;55;41;110;21
6/20/2020 4:00 PM;55;164;55;41,9;105;21
6/20/2020 7:00 PM;56;164;55;39,6;100;20
6/21/2020 5:00 AM;53;158;54,7;40;110;20
6/21/2020 3:26 AM;55;164;55,4;41,9;112;21
6/21/2020 9:13 AM;50;156;51,1;39,9;112;21
6/21/2020 7:00 PM;56;168;54;40;110;20
6/22/2020 5:00 AM;57,8;166;57,9;40;100;20
6/22/2020 6:08 AM;57;170;57,7;39,6;110;22
6/22/2020 8:00 PM;55;170;55;40;110;22
6/23/2020 12:00 AM;60;180;60;42;110;22
6/23/2020 3:08 AM;55;182;56,5;40;110;22
6/23/2020 5:00 AM;54;164;54;40,4;110;20,5
6/23/2020 7:10 AM;53;160;53,8;39,9;110;21
6/23/2020 7:00 PM;59;188;59;42,1;110;21
6/24/2020 6:10 AM;58;196;58,6;40;82;21,5
6/25/2020 3:18 AM;63;210;64,3;41,4;108;20
6/25/2020 7:00 AM;58;168;57,8;42;110;20
6/26/2020 4:10 AM;60;176;60,8;41;108;21
6/26/2020 7:00 AM;54;170;54,4;40;110;20
6/26/2020 5:00 PM;61;171;62;42;110;20
6/27/2020 8:02 AM;55;170;55;39,4;100;20,5
6/27/2020 5:36 PM;58;182;58;41;100;22
6/27/2020 7:00 PM;54;162;55;41;110;20
6/28/2020 5:00 AM;55;158;54,5;40;110;20
6/28/2020 3:00 PM;56;154;56;42,1;110;20
6/28/2020 7:00 PM;55;162;56;39,5;110;20
6/29/2020 5:00 AM;58;178;59;40,5;105;20
6/29/2020 7:00 AM;51;158;51;40,9;110;22
6/29/2020 11:11 AM;55;168;55;38,6;110;21,5
6/29/2020 7:00 PM;62;200;63;40;100;20
6/30/2020 3:05 AM;54;164;53,7;40,6;110;21
6/30/2020 5:00 AM;54;182;58,2;39,8;105;20
6/30/2020 6:09 AM;54;166;54,3;42;108;21,6
6/30/2020 9:00 PM;54;160;54;42,4;110;20,5
7/1/2020 3:55 AM;56;172;56,8;40,3;110;21,5
7/1/2020 9:04 AM;52;168;53,1;42,2;110;21,4
7/1/2020 7:00 PM;55;158;55;39,6;110;21
7/2/2020 4:30 AM;55;178;55;42,9;110;21
7/2/2020 6:00 AM;56;168;56,3;40,6;110;21
7/2/2020 7:00 AM;54;172;55;40,4;110;22
7/2/2020 11:00 AM;56;182;57;41,6;100;22
7/2/2020 3:00 PM;57;188;58;41,9;110;22
7/3/2020 3:17 AM;52;170;53,4;42,1;105;21,4
7/3/2020 6:12 AM;54;174;54,6;39,6;110;22
7/3/2020 7:00 AM;54;176;55;41;100;22
7/3/2020 11:00 AM;53;160;54;39;110;21
7/3/2020 3:00 PM;58;174;59;42;110;21
7/4/2020 3:24 AM;53;170;53,8;40,1;110;21
7/4/2020 7:00 AM;53;168;54;39,5;110;20
7/4/2020 7:00 PM;53;176;54;42;110;22
7/5/2020 11:00 AM;54;154;54;42,1;110;21
7/5/2020 4:00 PM;52;170;52;44,2;100;21
7/5/2020 8:00 PM;53;174;54;39,6;110;21
7/6/2020 4:00 AM;53;172;54;41;110;21
7/6/2020 7:00 AM;54;166;54;38,8;100;21
7/6/2020 11:01 AM;54;1162;54;39,9;110;21
7/6/2020 5:00 PM;53;160;53;40,6;110;21
7/6/2020 7:00 PM;54;154;55;41;110;20
7/7/2020 6:58 AM;53;160;53;38,7;110;20,5
7/7/2020 12:00 PM;54;170;54;39,6;27,3;21
7/7/2020 4:00 PM;55;168;55;40;105;21
7/7/2020 7:00 PM;54;168;55;40;110;20
7/8/2020 11:36 AM;54;174;54,4;42,2;110;21
7/8/2020 8:00 PM;55;154;56;40,3;100;20
7/9/2020 3:20 AM;57;178;57,8;41,7;110;21
7/9/2020 4:05 AM;55;158;55;39,4;110;20
7/9/2020 7:05 AM;55;156;55,4;40;110;21
7/9/2020 9:00 PM;54;170;54;41;110;21,5
7/10/2020 2:05 AM;54;140;54;39,6;110;22
7/10/2020 6:16 AM;59;174;59,5;41,5;110;21
7/10/2020 7:00 AM;55;164;56;41;110;20
7/10/2020 3:00 PM;57;176;57;42;100;20
7/11/2020 2:14 AM;52;168;54;40,2;107;21
7/11/2020 3:00 PM;56;178;57;41;110;21
7/12/2020 2:54 AM;56;178;56,4;41,5;95;21,5
7/12/2020 6:23 AM;60;190;60;40,6;110;21,5
7/12/2020 7:00 AM;57;188;58;38,9;95;20
7/13/2020 2:55 AM;55;174;55,6;41;110;21
7/13/2020 6:00 AM;57,6;158;53,7;40,6;90;20
7/13/2020 5:00 PM;63;200;63;40,2;110;20
7/13/2020 7:00 PM;58;198;63;40;100;21
7/14/2020 3:00 AM;55;172;56;41,3;110;21
7/14/2020 12:00 PM;52;160;52;42;110;21
7/14/2020 3:00 PM;55;168;55;39,9;110;21
7/14/2020 7:00 PM;53;168;54;40;110;22
7/15/2020 3:00 AM;55;176;56;40;110;21
7/15/2020 7:09 AM;53;168;54;40,2;110;21
7/15/2020 11:00 AM;53;160;55;40,2;110;21
7/15/2020 7:00 PM;58;174;58;39;110;20
7/16/2020 4:00 AM;54;156;55;39,1;115;20,5
7/16/2020 5:00 AM;53;176;63,4;39;110;20
7/16/2020 6:13 AM;60;168;60;41,1;112;21,7
7/16/2020 8:00 PM;54;160;55;39,4;110;20,5
7/17/2020 12:36 AM;56;180;56;40,8;110;20,5
7/17/2020 1:19 AM;50;162;50,7;39;110;21
7/17/2020 7:04 AM;55;176;55,9;40,8;108;21
7/17/2020 7:40 PM;54;164;54;40,1;105;21
7/18/2020 1:56 AM;54;170;55;41;110;21
7/18/2020 11:00 AM;53;152;54;40;110;20
7/18/2020 3:00 PM;55;158;55;41;110;21
7/19/2020 7:00 AM;55;158;54;40;110;20
7/19/2020 3:00 PM;56;176;57;40;110;22
7/20/2020 7:00 AM;54;158;55;42;110;20
7/21/2020 5:00 PM;55;148;55,6;41;110;20
7/21/2020 7:00 PM;55;156;54;41;110;20
7/22/2020 3:00 AM;55;168;56;41;100;20
7/22/2020 6:54 AM;55;170;55;39,9;105;20,5
7/22/2020 11:12 AM;57;186;57;40,3;110;21
7/22/2020 2:00 PM;53;166;54;40,3;110;21,4
7/22/2020 7:00 PM;56;168;55;41;100;20
7/23/2020 3:00 AM;53;162;54;42;110;20
7/23/2020 7:01 AM;54;170;54;39,4;110;21
7/23/2020 11:12 AM;55;170;55;40,2;110;21
7/23/2020 3:00 PM;55;168;55;39,6;110;21
7/23/2020 7:00 PM;53;154;53,8;39,9;110;20
7/23/2020 11:00 PM;56;164;55,7;41,5;110;20
7/24/2020 5:00 AM;55;168;55,5;40;110;20
7/24/2020 9:00 PM;54;160;54;40,4;110;20,5
7/25/2020 4:13 AM;55;160;55;40,6;110;21,5
7/25/2020 9:00 PM;55;164;55;42,6;110;21
7/26/2020 7:00 AM;53;164;54;40;110;21
7/26/2020 12:58 PM;54;170;54;39,6;110;21
7/26/2020 7:30 PM;55;168;55;41,7;100;21
7/26/2020 11:00 PM;55;172;55;42,3;105;21
7/27/2020 5:19 AM;58;184;58;43,4;110;21
7/27/2020 7:00 AM;56;182;55;42;100;21
7/28/2020 3:00 PM;55;172;56;40;110;20
7/29/2020 7:00 AM;53;162;53,3;38,6;110;20
7/29/2020 5:00 PM;56;160;55,7;39,2;110;20
7/29/2020 7:00 PM;52;160;54;39;110;21
7/30/2020 3:00 AM;54;158;55;40;110;21
7/30/2020 7:06 AM;54;150;54;39,6;110;20
7/30/2020 11:31 AM;54;170;54;40,6;110;21
7/30/2020 1:00 PM;54;166;54;41,6;105;21
7/30/2020 7:00 PM;57;180;57,6;41,7;110;22
7/31/2020 3:00 AM;52;162;53;39;110;22
7/31/2020 7:00 AM;53;160;54;38,9;105;21
7/31/2020 7:00 PM;53;162;53,4;40,7;110;20
8/1/2020 5:00 AM;58;150;54,2;39;110;20
8/1/2020 11:00 PM;54;160;54;41;110;21
8/2/2020 1:38 AM;54;172;54;40,7;110;21
8/2/2020 5:02 AM;53;160;54;40,8;110;21
8/2/2020 9:00 PM;61;182;61;41,2;105;21
8/3/2020 1:28 AM;63;180;63;41,3;105;21
8/3/2020 5:07 AM;53;160;54;39,6;110;21
8/5/2020 7:00 AM;57;178;58;41;100;21
8/6/2020 1:50 AM;66;206;67;40,6;110;20
8/6/2020 7:00 AM;58;180;58,6;39,3;110;20
8/6/2020 8:09 AM;61;186;62,1;40;108;20,5
8/6/2020 7:00 PM;58;186;59;41;110;21
8/7/2020 3:00 AM;59;1841;60;40;100;20
8/7/2020 7:11 AM;57,5;178;57;40,4;110;20
8/7/2020 11:00 AM;59;180;59;40,1;110;21
8/7/2020 5:00 PM;65;180;65;42,1;110;20
8/7/2020 7:00 PM;56;182;57;50;100;20
8/8/2020 3:00 AM;53;164;54;40;110;20
8/8/2020 4:00 PM;55;162;55;40,2;110;21
8/8/2020 7:00 PM;54;162;55,6;41;105;20
8/9/2020 3:03 AM;56;172;56,3;40,2;104;21,2
8/9/2020 5:00 AM;63;190;63,7;39,7;110;20
8/9/2020 6:10 AM;58;174;58,6;40,4;110;20,4
8/9/2020 7:00 PM;52;158;52,8;40,5;110;20
8/10/2020 1:13 AM;56;174;56,7;41,5;110;21
8/10/2020 5:00 AM;56;176;55,8;41;105;20
8/10/2020 6:12 AM;60;180;61;39,6;112;21
8/10/2020 9:00 PM;59;182;59;42,3;110;20,5
8/11/2020 2:02 AM;60;188;60;41,1;110;21
8/11/2020 3:53 AM;55;170;55,8;40;110;21
8/11/2020 10:04 AM;55;174;56,4;39;110;21
8/11/2020 9:00 PM;59;180;59;41,3;100;20,5
8/12/2020 4:20 AM;60;190;60;41,4;27,8;20
8/12/2020 6:18 AM;58;168;58,4;42,3;92;21
8/12/2020 7:00 AM;60;192;61;41,4;100;20
8/12/2020 3:00 PM;58;180;59;42,5;110;22
8/13/2020 1:07 AM;55;168;55,2;41,3;110;21
8/13/2020 6:15 AM;59;184;60;42;108;21
8/14/2020 1:15 AM;56;174;56,8;40,8;110;21
8/16/2020 5:00 PM;60;190;60;42;100;21
8/17/2020 7:04 AM;57;178;57;40,3;100;21
8/17/2020 10:08 AM;62;180;62;40,3;100;21
8/17/2020 5:00 PM;61;190;61;40,2;100;21
8/18/2020 5:16 AM;57;180;57,6;41,3;112;21,5
8/18/2020 9:00 PM;60;190;60;40,5;100;21,5
8/19/2020 3:24 AM;57;180;57,6;41,8;80;21,5
8/19/2020 3:27 AM;60;204;60;41,1;105;20
8/19/2020 7:06 AM;61;196;62;42,9;95;20,5
8/19/2020 9:00 PM;57;180;57;41,3;105;21
8/20/2020 1:15 AM;60;190;60;42,2;110;21
8/20/2020 4:04 AM;58;182;58;39,9;110;21
8/20/2020 7:00 AM;58;180;60;42;110;20
8/20/2020 7:06 AM;56;170;56,6;41,6;110;21
8/20/2020 3:00 PM;56;176;57;42;110;20
8/21/2020 1:14 AM;57;174;58,4;41;110;21
8/21/2020 6:10 AM;56;178;57,2;42,4;108;21
8/21/2020 3:00 PM;55;176;56;42,4;110;20
8/22/2020 2:21 AM;58;184;58,7;42,5;110;21,5
8/22/2020 7:00 AM;56;180;56;40,5;110;20
8/22/2020 5:00 PM;60;180;60;41;110;20
8/22/2020 8:00 PM;57;178;58;40,4;110;20
8/23/2020 4:00 AM;56;178;57;39,4;110;20
8/23/2020 9:12 AM;60;190;60;42,3;110;21
8/23/2020 12:33 PM;60;196;60;42,6;110;21
8/23/2020 7:00 PM;58;182;59;41,3;100;21
8/24/2020 3:00 AM;57;176;58;40,5;100;20
8/24/2020 7:05 AM;57;172;57,6;40,5;110;21
8/24/2020 11:00 AM;58;180;58;41;110;21
8/24/2020 4:00 PM;63,9;198;63;42,6;110;21
8/24/2020 7:00 PM;62;192;63;42,9;110;20
8/25/2020 4:00 PM;66;190;66;43;110;21
8/25/2020 7:00 PM;63;196;64;40;110;20
8/26/2020 1:50 AM;60;192;61;41,6;114;21
8/26/2020 5:00 AM;62;180;61;41,5;110;20
8/26/2020 6:43 AM;63;192;63,7;41,5;110;21
8/26/2020 10:00 PM;60;184;60;42,1;110;21
8/27/2020 2:00 AM;60;186;60;41,1;110;20,5
8/27/2020 3:02 AM;57;182;57,5;41,5;110;21
8/27/2020 7:03 AM;59;190;58,2;41,6;110;21
8/27/2020 10:00 PM;58;180;58;42;110;21
8/28/2020 4:03 AM;58;184;58,7;41,6;110;21
8/28/2020 6:25 AM;57;176;57,3;41,1;110;21
8/28/2020 7:00 AM;58;184;59;41,4;110;20
8/28/2020 3:00 PM;56;178;57;41,4;110;20
8/29/2020 1:42 AM;57;178;58,1;41,3;100;20,8
8/29/2020 6:17 AM;53;162;53,2;42,5;110;20
8/30/2020 2:54 AM;55;180;55,8;41,8;115;21,4
8/30/2020 6:23 AM;58;170;58,3;42,4;110;21,5
8/30/2020 7:00 AM;56;180;58,3;41;105;20
8/30/2020 5:00 PM;56;176;59,6;42;110;20
8/31/2020 2:01 AM;54;168;55,2;40,4;110;21
8/31/2020 7:00 AM;57;180;58,9;40,3;110;20
8/25/2020 3:00 AM;57;178;57;41;110;20
2/3/2020 2:00 AM;62;198;62;45;110;20,5
1/4/2020 3:00 PM;59;188;59;45;110;21
1/4/2020 8:00 PM;55;174;55;45;95;21
1/5/2020 10:54 AM;60;180;60;40;100;21
1/1/2020 2:14 AM;60;197;60,7;43;107;21,2
1/1/2020 6:58 AM;59;198;60,3;42;100;21
1/1/2020 7:00 AM;60;189;61;40;110;20
1/1/2020 1:00 PM;60;200;61;40;110;20
1/1/2020 11:00 PM;60;189;61;41;100;20
1/6/2020 9:00 PM;58;190;58;43;100;21
1/7/2020 4:00 PM;62;200;62;39;100;21
