Fecha/Hora;Presión agua intercambiador (psi);Nivel de kathene acondicionador (in);Presión atomización en acondicionador (psi);Presión atomización en regenerador (psi);Caida de presión en filtros cambridge (in H2O);Caida de presión en acodicionador (in H2O);Caida de presión en regenerador (in H2O);Temperatura aire A (°C);Temperatura aire B (°C);Temperatura aire D (°C);
1/2/2020 1:00:00 AM;4,00;13,00;4,30;0,10;0,33;1,7;0,6;35,4;35,4;40;
1/3/2020 6:10:00 PM;11,00;12,60;4,40;0,20;0,35;1,6;0,7;36,1;36;39,9;
1/5/2020 8:30:00 PM;10,00;11,30;4,20;0,20;0,30;1,5;0,8;36;36;3;
1/6/2020 6:10:00 AM;20,00;12,30;4,20;0,20;0,30;1,6;0,7;33;33,1;36,3;
1/7/2020 6:00:00 PM;8,00;11,60;4,40;0,10;0,35;1,6;0,7;35,8;35,9;39,5;
1/8/2020 6:10:00 PM;8,00;11,40;4,40;0,20;0,35;1,6;0,7;35,5;35,4;38,9;
1/8/2020 8:50:00 PM;8,00;11,60;4,30;0,20;0,35;1,5;0,7;36,1;35,9;39,6;
1/9/2020 10:15:00 AM;10,00;11,60;4,20;0,20;0,35;1,6;0,7;37,7;36,2;40,2;
1/10/2020 11:00:00 AM;1,00;11,60;4,20;0,20;0,35;1,7;0,7;35,6;36,3;40,1;
1/11/2020 11:00:00 AM;7,00;12,50;4,20;0,20;0,35;1,6;0,5;34,3;34,7;37,6;
1/12/2020 7:00:00 AM;6,00;12,30;4,20;0,20;0,30;1,6;0,6;34;34,6;36,4;
1/13/2020 9:20:00 PM;4,00;11,60;4,40;0,10;0,35;1,5;0,6;36,1;36,4;38,9;
1/15/2020 11:40:00 AM;11,00;12,30;4,20;0,10;0,35;1,6;0,8;37,5;37,9;40,9;
1/15/2020 3:00:00 PM;10,00;12,90;4,20;0,20;0,30;1,5;0,7;37,1;37,4;40,6;
1/15/2020 8:00:00 PM;7,00;12,60;4,20;0,20;0,30;1,6;0,7;36,8;36,6;40,1;
1/16/2020 1:00:00 PM;11,00;25,00;4,30;0,10;0,35;1,5;0,6;36,7;37,2;39,7;
1/16/2020 8:00:00 PM;7,00;12,70;4,20;0,20;0,35;1,5;0,6;36,2;36,5;38,2;
1/17/2020 7:00:00 AM;11,00;12,80;4,20;0,20;0,30;1,6;0,5;34;34,8;36,5;
1/17/2020 9:00:00 PM;14,00;12,00;4,30;0,10;0,40;1,5;0,6;35,2;36,1;37,3;
1/18/2020 3:00:00 AM;12,00;12,50;4,20;0,10;0,37;1,6;0,6;35,1;35,9;37,8;
1/20/2020 3:00:00 AM;6,00;12,40;4,30;0,10;0,37;1,6;0,6;35,4;35,1;38,4;
1/20/2020 3:00:00 PM;10,00;12,90;4,20;0,20;0,35;1,6;0,4;36,2;36,7;37,1;
1/21/2020 1:30:00 PM;13,00;12,40;4,30;0,20;0,40;1,5;0,5;37,2;38;38,6;
1/21/2020 3:00:00 PM;7,00;12,80;4,20;0,20;0,35;1,6;0,5;38,1;38,5;39,8;
1/21/2020 9:00:00 PM;2,00;11,90;4,20;0,20;0,35;1,5;0,6;37,3;37,5;37,8;
1/22/2020 6:30:00 AM;12,00;12,50;4,20;0,20;0,35;1,6;0,5;34,9;35,5;36,6;
1/22/2020 1:00:00 PM;8,00;13,00;4,20;0,20;0,35;1,5;0,6;35,3;36,1;35,8;
1/23/2020 8:30:00 PM;11,00;12,60;4,30;0,10;0,40;1,5;0,4;36,6;37,6;38,8;
1/24/2020 1:00:00 PM;10,00;12,30;4,30;0,10;0,40;1,5;0,4;39,6;39,7;38,3;
1/28/2020 6:00:00 PM;10,00;12,30;4,20;0,20;0,35;1,6;0,4;35,4;36,2;36,9;
1/30/2020 4:00:00 PM;12,00;12,10;4,20;0,20;0,35;1,6;0,4;37;37,6;39,1;
2/1/2020 12:00:00 PM;11,00;12,60;4,20;0,10;0,35;1,5;0,4;37,9;38,2;40,1;
2/2/2020 12:00:00 PM;1,00;11,90;4,20;0,10;0,35;1,6;0,4;38,3;38,8;40,5;
2/7/2020 7:00:00 PM;0,00;12,50;4,30;0,10;0,40;1,5;1;37,4;37,8;40,8;
2/8/2020 4:00:00 AM;6,00;12,10;4,20;0,10;0,35;15;1,1;36,3;36,9;39,1;
2/10/2020 4:40:00 PM;5,00;12,20;4,20;0,10;0,35;1,6;0,5;36,5;36,8;39,5;
2/11/2020 5:10:00 PM;1,00;12,20;4,20;0,10;0,35;1,5;0,7;36,5;37,5;38,5;
2/12/2020 7:00:00 AM;0,00;12,70;4,20;0,20;0,35;1,5;0,9;34,7;35,3;36,7;
2/15/2020 5:30:00 PM;6,00;12,00;4,20;0,10;0,40;1,6;1;37,3;38,4;39,2;
2/17/2020 2:10:00 AM;520,00;12,10;4,20;0,10;0,40;1,5;1,1;36,2;37,1;37,1;
2/18/2020 3:15:00 AM;4,00;11,50;4,20;0,10;0,40;1,5;1,1;34,4;35,5;35;
2/19/2020 12:00:00 PM;10,00;11,80;4,20;0,10;0,40;1,5;1,1;35,3;36,4;35,7;
2/21/2020 11:10:00 AM;4,00;12,40;4,20;0,10;0,40;1,5;0,9;37,5;38,5;39,5;
2/21/2020 6:55:00 PM;5,00;10,50;4,60;0,30;0,30;0,9;0,8;36,8;37,3;41,8;
2/24/2020 10:00:00 AM;8,00;12,50;4,20;0,10;0,40;1,5;0,7;37,2;38,2;38,4;
2/26/2020 12:00:00 PM;10,00;12,00;4,20;0,10;0,40;1,5;0,9;35,7;36,8;36,7;
2/28/2020 7:15:00 AM;5,00;11,90;4,20;0,20;0,40;1,5;1;34,7;35,9;36,1;
3/2/2020 8:10:00 PM;4,00;11,90;4,20;1,00;0,40;1,5;0,9;36,3;37,2;38,2;
3/7/2020 3:30:00 AM;5,00;12,00;4,20;0,10;0,40;1,5;0,9;36,2;37,3;36,8;
3/8/2020 2:00:00 AM;5,00;11,90;4,20;0,10;0,40;1,5;0,9;37,5;37,8;37,2;
3/10/2020 4:45:00 AM;13,00;12,10;4,30;0,10;0,40;1,5;0,6;36,5;37,3;37,3;
3/10/2020 7:05:00 AM;3,00;12,10;4,10;0,10;0,40;1,5;1;36,1;37;36,5;
3/11/2020 6:49:00 AM;0,20;12,50;4,10;0,20;0,40;1,5;0,6;36,8;37,6;37,8;
3/11/2020 10:40:00 AM;0,40;12,20;4,20;0,10;0,40;1,5;1,1;37,5;38;37,7;
3/11/2020 12:55:00 PM;2,00;12,60;4,40;0,10;0,40;1,5;1;36,1;37,1;36,8;
3/12/2020 10:35:00 PM;0,40;12,00;4,20;0,10;0,40;1,4;0,9;37,6;38,2;38,9;
3/13/2020 8:30:00 PM;6,00;12,20;4,40;0,10;0,45;1,4;1;37,2;37,9;38,5;
3/14/2020 7:30:00 AM;7,00;12,80;4,20;0,20;0,40;1,6;1;36,4;36,8;37,9;
3/14/2020 12:00:00 PM;5,00;12,20;4,20;0,10;0,40;1,4;1;37,2;37,9;38,4;
3/14/2020 4:00:00 PM;2,00;12,70;4,30;0,10;0,45;1,4;0,9;37,4;38,4;39,1;
3/15/2020 4:20:00 AM;6,00;13,00;4,20;0,20;0,35;1,6;0,9;37,3;37,9;37,9;
3/18/2020 2:30:00 AM;2,00;12,50;4,20;0,10;0,40;1,4;0,6;36,8;37,3;38,2;
3/21/2020 3:30:00 PM;20,00;11,80;4,20;0,10;0,40;1,4;0,9;36,2;37,4;36,7;
4/5/2020 6:36:00 PM;0,30;13,10;4,20;0,10;0,25;1,5;0,9;37,7;38,6;39,2;
4/6/2020 6:45:00 PM;0,40;12,90;4,20;0,10;0,25;1,5;0,8;38,1;38,1;39,9;
4/7/2020 2:00:00 PM;154,00;12,10;4,20;0,10;0,25;1,5;1;36,6;37,1;37,4;
4/7/2020 7:50:00 PM;15,00;12,30;4,20;0,20;0,25;1,5;1;36,6;37;38;
4/8/2020 5:10:00 AM;13,00;11,90;4,20;0,20;0,25;1,6;0,9;34,8;35,4;36,3;
4/8/2020 12:00:00 PM;10,00;12,40;4,20;0,10;0,25;1,5;1,1;37,9;38,3;39,6;
4/8/2020 7:30:00 PM;5,00;12,60;4,20;0,20;0,25;1,5;0,8;37,7;37,8;40,3;
4/9/2020 5:00:00 AM;3,00;12,10;4,20;0,20;0,25;1,5;0,9;37;38,1;38,8;
4/9/2020 12:00:00 PM;15,00;12,20;4,20;0,10;0,25;1,5;10000;37,6;38,1;38,8;
4/9/2020 7:00:00 PM;5,00;12,30;4,20;0,10;0,25;1,5;0,9;37,4;38,2;38,8;
4/10/2020 5:00:00 AM;3,00;12,00;4,10;0,10;0,25;1,6;0,6;36,8;37,1;37,9;
4/11/2020 2:10:00 AM;8,00;13,20;4,30;0,10;0,25;1,5;0,6;36,7;37;38,6;
4/12/2020 7:00:00 AM;5,00;12,30;4,10;0,10;0,25;1,6;0,7;35,9;36,6;37,8;
4/12/2020 5:00:00 PM;5,00;12,70;4,20;0,20;0,25;1,5;0,6;36,6;37,8;40;
4/14/2020 11:30:00 AM;5,00;12,90;4,30;0,10;0,25;1,5;0,6;36,2;36,8;38,5;
4/15/2020 5:00:00 AM;5,00;12,20;4,30;0,10;0,25;1,5;0,7;36,9;37,1;38,5;
4/16/2020 3:15:00 PM;10,00;11,80;4,20;0,10;0,25;1,5;1;36,1;36,7;39;
4/16/2020 7:00:00 PM;5,00;11,90;4,20;0,10;0,25;1,6;0,7;37;37,6;40,2;
4/17/2020 5:00:00 AM;12,00;12,20;4,20;0,10;0,25;1,6;0,6;36,2;36,8;38,9;
4/17/2020 11:50:00 AM;8,00;11,50;4,30;0,10;0,25;1,4;0,7;35,2;35,7;38,7;
4/17/2020 4:30:00 PM;10,00;12,10;4,20;0,10;0,25;1,6;0,9;36,7;36,5;39,3;
4/18/2020 12:00:00 PM;8,00;11,90;4,20;0,10;0,25;1,4;1;36,2;36,7;39,1;
4/19/2020 11:50:00 AM;5,00;12,60;4,20;0,10;0,30;1,4;1;36,8;37,6;39,9;
4/21/2020 6:45:00 PM;5,00;12,80;4,20;0,10;0,25;1,5;0,7;36,3;37,1;40,1;
4/23/2020 12:00:00 PM;0,90;12,80;4,20;0,20;0,25;1,5;0,7;37,7;38,1;35,4;
4/23/2020 7:51:00 PM;0,20;12,20;4,20;0,20;0,25;1,5;0,7;37,3;37,8;40,7;
4/24/2020 7:00:00 PM;7,00;12,00;4,20;0,10;0,25;1,5;1;36,7;36,9;40,3;
4/26/2020 1:45:00 AM;9,00;13,00;4,30;0,10;0,25;1,5;0,8;36,6;36,6;39,5;
4/26/2020 2:00:00 PM;6,00;12,30;4,20;0,10;0,25;1,5;0,8;35,9;36;40;
4/27/2020 2:00:00 AM;5,00;11,40;4,30;0,10;0,25;1,4;1;35,7;35,8;38,9;
4/28/2020 3:10:00 AM;10,00;12,20;4,20;0,10;0,25;1,5;1;37,2;38,2;38,4;
4/29/2020 3:10:00 AM;8,00;12,40;4,20;0,10;0,25;1,5;0,8;35,9;36;40,1;
4/30/2020 1:30:00 AM;5,00;11,90;4,20;0,10;0,25;1,4;1;35,7;36,1;40,2;
4/30/2020 7:20:00 PM;5,00;13,00;4,20;0,10;0,25;1,5;0,8;36,5;36,7;41,6;
5/3/2020 1:20:00 PM;8,00;12,20;4,20;0,10;0,25;1,4;0,9;35,6;36;39,9;
5/3/2020 7:00:00 PM;9,00;12,80;4,20;0,10;0,25;1,5;0,7;37,3;37,2;42,4;
5/4/2020 5:00:00 AM;3,00;12,80;4,20;0,20;0,25;1,5;0,9;37,3;37,2;42,4;
5/4/2020 9:20:00 AM;6,00;11,60;4,20;0,10;0,25;1,4;0,9;36,6;36,9;41,6;
5/5/2020 6:25:00 AM;0,60;11,70;4,20;0,10;0,25;1,5;0,7;36,5;36,7;42;
5/6/2020 6:45:00 AM;0,20;11,70;4,20;0,10;0,25;1,5;0,8;37,6;37,4;43,1;
5/8/2020 3:00:00 AM;6,00;12,30;4,20;0,10;0,25;1,5;0,9;37;36,9;41,5;
5/9/2020 12:00:00 PM;10,00;12,50;4,20;0,10;0,25;1,4;0,9;37,9;37,7;41,9;
5/9/2020 1:30:00 PM;4,00;11,80;4,30;0,10;0,25;1,5;1;39,3;39,4;43,9;
5/9/2020 6:50:00 PM;2,00;11,50;4,20;0,10;0,25;1,5;0,9;37,7;37,3;42,1;
5/10/2020 1:10:00 PM;8,00;11,50;4,30;0,10;0,25;1,5;0,7;39,1;38,8;43,5;
5/10/2020 7:00:00 PM;14,00;11,10;4,10;0,10;0,13;0,7;1,2;39,8;40,6;42,8;
5/11/2020 4:00:00 PM;5,00;12,60;4,20;0,10;0,25;1,4;0,9;37,5;37,2;40,1;
5/11/2020 7:00:00 PM;14,00;13,00;4,20;0,20;0,25;1,5;0,8;37,8;37,5;40,6;
5/12/2020 9:10:00 AM;7,00;12,90;4,20;0,10;0,25;1,5;0,9;36,4;36,3;39;
5/13/2020 12:00:00 PM;4,00;11,70;4,30;0,10;0,25;1,5;0,8;37,4;36,9;40,8;
5/15/2020 2:00:00 AM;7,00;11,60;4,20;0,10;0,25;1,6;0,9;37,3;37,1;39,8;
5/16/2020 12:10:00 PM;12,00;12,10;4,20;0,10;0,25;1,5;0,9;38,3;38,1;42,2;
5/16/2020 1:00:00 PM;4,00;11,80;4,30;0,10;0,25;1,5;1;37,6;37,9;42;
5/28/2020 1:00:00 PM;8,00;11,00;3,00;1,00;2,50;1;0,9;34,4;35,3;43,3;
5/29/2020 7:00:00 PM;7,00;10,90;4,20;0,20;0,25;0,9;1;36,2;35,9;43,4;
5/30/2020 5:00:00 AM;6,00;10,50;4,10;0,20;0,25;1;1;33,4;34,2;41,6;
5/30/2020 7:30:00 PM;11,00;11,00;4,20;0,10;0,30;0,9;1;34,6;34,2;40,1;
5/31/2020 4:30:00 AM;12,00;10,20;4,20;0,10;0,30;0,9;1;33,8;33,4;37,3;
6/4/2020 2:15:00 PM;5,00;11,50;3,80;0,10;0,28;1;0,7;35,4;36,2;35,5;
6/5/2020 4:20:00 PM;9,00;11,30;3,80;0,10;0,30;0,9;0,8;36,9;37,9;37;
6/5/2020 8:00:00 PM;10,00;10,50;4,20;0,20;0,30;1;0,8;36,9;37,2;36,9;
6/7/2020 1:00:00 AM;8,00;10,40;4,70;0,10;0,30;1;0,9;35,5;36,1;38,5;
6/10/2020 2:10:00 AM;7,00;10,50;3,80;0,10;0,30;0,9;0,7;38;38,4;42,7;
6/13/2020 10:10:00 AM;7,00;10,80;3,80;0,10;0,30;0,9;0,7;35,6;35,7;40,3;
6/13/2020 7:00:00 PM;10,00;10,70;4,30;0,20;0,30;1;0,9;37,2;38,3;41,4;
6/14/2020 2:00:00 PM;5,00;10,80;4,50;0,10;0,30;0,9;0,7;35,6;35,7;40,3;
6/14/2020 7:00:00 PM;9,00;11,40;4,50;0,30;0,30;1;0,8;37,2;37,6;42,5;
6/15/2020 12:00:00 PM;10,00;11,50;4,60;0,10;0,30;0,9;0,7;37,5;38,2;42,9;
6/16/2020 1:45:00 AM;3,00;11,10;4,50;0,50;0,30;0,9;0,9;36,2;36,8;41;
6/19/2020 7:00:00 PM;7,00;10,50;4,30;0,20;0,30;0,9;0,8;37,8;38,2;42,7;
6/20/2020 1:00:00 AM;7,00;10,70;4,30;0,20;0,30;0,9;0,8;37,6;38,1;42,8;
6/20/2020 7:00:00 PM;8,00;11,30;4,90;0,20;0,30;0,9;0,7;37,4;37,7;42,8;
6/21/2020 5:15:00 AM;0,90;11,20;4,80;0,10;0,29;0,8;0,7;37,1;37,6;42,1;
6/23/2020 1:10:00 PM;7,00;11,30;3,80;0,20;0,30;0,9;0,7;37;37,6;42,4;
6/24/2020 1:00:00 AM;4,00;11,10;4,40;0,80;0,30;0,9;0,9;35,5;36,3;40,3;
6/24/2020 3:00:00 PM;8,00;11,50;3,80;0,20;0,30;0,9;0,8;37,4;38,7;42,1;
6/26/2020 1:00:00 AM;7,00;11,30;3,80;0,20;0,30;0,9;0,8;36,7;37,1;41;
6/27/2020 1:30:00 AM;7,00;10,90;3,80;0,10;0,30;0,9;0,8;36,3;36,5;40,8;
6/27/2020 7:00:00 AM;5,00;10,30;4,80;0,50;0,30;1;0,8;36,6;36,6;41,5;
6/27/2020 7:50:00 PM;0,40;11,40;54,00;0,30;0,30;0,9;0,7;37;37,1;41,9;
6/28/2020 8:00:00 PM;0,50;11,30;4,20;0,20;0,30;0,8;0,9;36,8;37,1;40,1;
6/29/2020 7:45:00 PM;5,00;10,40;4,80;0,40;0,30;1;0,8;36,4;36,3;40,5;
6/30/2020 3:00:00 PM;8,00;11,30;3,80;0,10;0,30;0,9;0,8;36,9;37,4;41,1;
7/1/2020 12:00:00 PM;13,00;10,20;3,80;0,20;0,30;0,9;0,8;36,8;37,1;40,8;
7/2/2020 4:00:00 PM;61,00;10,60;3,80;0,10;0,30;0,9;0,7;38,1;38,1;42,9;
7/5/2020 2:00:00 AM;10,00;10,50;4,00;0,10;0,35;0,9;0,8;36,9;36,7;41,6;
7/5/2020 6:30:00 AM;10,00;11,50;5,00;1,00;0,30;1;0,8;36,5;36,3;41,4;
7/6/2020 3:00:00 AM;7,00;11,60;4,00;0,10;0,30;1;0,7;37,9;37,7;42,6;
7/6/2020 6:52:00 PM;5,00;10,90;54,00;0,30;0,30;0,9;0,7;37,7;37,4;42,8;
7/7/2020 4:50:00 AM;0,90;11,30;4,60;0,20;0,30;0,8;0,6;37,8;37,9;42,4;
7/8/2020 2:30:00 AM;6,00;11,00;5,30;0,30;0,30;0,9;0,8;37,8;37,6;42,5;
7/9/2020 2:20:00 AM;0,90;11,60;54,00;0,30;0,30;0,9;0,7;37,8;37,3;42,5;
7/9/2020 4:00:00 PM;7,00;11,60;4,20;0,10;0,30;0,9;0,8;37,9;37,7;42,6;
7/10/2020 1:00:00 AM;4,00;11,70;4,40;0,80;0,30;0,9;0,7;37,4;37;41,9;
7/10/2020 10:00:00 AM;7,00;11,50;4,20;0,10;0,30;0,9;0,7;38,1;38,1;42,8;
7/12/2020 2:00:00 AM;10,00;11,40;4,00;0,10;0,30;0,9;0,7;38;37,7;42,7;
7/13/2020 2:00:00 AM;5,00;11,20;4,00;0,10;0,30;0,9;0,7;38;37,6;41,6;
7/14/2020 1:30:00 AM;0,40;10,90;5,10;0,20;0,30;0,9;0,8;38,2;38,1;42,8;
7/14/2020 8:40:00 PM;0,30;10,80;5,10;0,10;0,30;0,9;0,7;37,4;36,9;42,4;
7/17/2020 2:00:00 AM;4,00;11,10;4,40;0,80;0,30;0,9;0,7;36,8;36,5;40,8;
7/17/2020 4:00:00 PM;7,00;11,40;4,10;0,10;0,30;0,9;0,7;39,4;39,4;44,5;
7/18/2020 3:30:00 AM;8,00;11,40;4,30;0,80;0,30;1;0,7;36,7;36,4;42,1;
7/18/2020 2:00:00 PM;12,00;410,70;4,20;0,10;0,30;0,9;0,8;36,5;36,2;41,2;
7/19/2020 7:10:00 AM;0,50;11,40;4,50;0,10;0,30;0,9;0,6;38,1;37,4;42,8;
7/20/2020 3:00:00 AM;10,00;10,40;4,20;0,10;0,30;0,9;0,8;37,2;36,5;42;
7/20/2020 8:30:00 AM;0,50;11,10;5,10;0,10;0,30;1;0,6;38;37,4;42,8;
7/22/2020 3:30:00 AM;10,00;11,10;4,20;0,10;0,30;0,9;0,7;37,6;37,1;42;
7/22/2020 8:30:00 PM;0,30;10,80;5,10;0,10;0,30;0,9;0,6;38,9;38;45,2;
7/24/2020 1:30:00 AM;3,00;11,30;5,10;0,20;0,30;0,9;0,6;39,3;38;44,6;
7/24/2020 4:00:00 PM;10,00;10,60;4,20;0,10;0,30;0,9;0,6;38,3;37,3;44,6;
7/26/2020 12:30:00 AM;4,00;10,40;0,80;4,40;0,30;0,9;0,7;37,5;36,7;43,4;
7/26/2020 7:00:00 AM;4,00;11,50;5,00;0,10;0,30;1;0,6;37,1;36,4;42,9;
7/27/2020 3:00:00 AM;10,00;11,20;4,20;0,10;0,30;0,9;0,7;37,6;37,3;42,9;
7/28/2020 1:30:00 AM;8,00;10,50;4,20;0,10;0,30;0,9;0,7;38,8;38,1;45;
7/28/2020 7:00:00 PM;14,00;10,50;5,00;0,10;0,30;1;0,7;39,3;38,7;44,8;
7/29/2020 7:00:00 PM;7,00;11,10;5,00;0,10;0,30;1;0,8;38,4;38,2;43,8;
7/30/2020 4:00:00 AM;7,00;10,60;5,00;0,10;0,30;1;0,9;37,2;36,7;42,8;
8/1/2020 3:00:00 PM;12,00;11,40;4,20;0,10;0,30;1;0,9;38,5;38,4;44,5;
8/3/2020 1:30:00 AM;0,80;10,50;5,10;0,10;0,25;1;0,8;37,4;37;42,8;
8/3/2020 7:00:00 PM;4,00;11,10;5,00;0,10;0,25;1;0,9;37,9;37,5;42,6;
8/4/2020 4:30:00 AM;3,00;11,50;5,00;0,10;0,25;1;0,9;37,2;36,8;42,6;
8/5/2020 2:00:00 AM;7,00;10,80;4,30;0,80;0,25;1;0,9;37,1;36,6;42;
8/7/2020 2:00:00 AM;6,00;11,30;4,20;0,10;0,25;1;0,9;37,2;36,8;42,6;
8/7/2020 7:00:00 AM;4,00;11,20;5,00;0,10;0,25;1;0,9;37,7;37,1;43,6;
8/7/2020 5:00:00 PM;3,00;11,50;5,00;0,10;0,25;1;0,9;38,5;38,2;43,7;
8/8/2020 7:00:00 AM;2,00;11,50;5,00;0,10;0,25;1;0,9;37,3;36,8;43;
8/8/2020 12:00:00 PM;0,40;10,50;5,10;0,10;0,25;1;0,8;38,6;37,9;43,4;
8/8/2020 12:30:00 PM;7,00;11,10;4,20;0,10;0,25;1,6;0,9;37,7;37,3;43,2;
8/11/2020 7:00:00 PM;5,00;11,30;5,00;0,10;0,25;1;0,9;38,5;37,9;44,1;
8/12/2020 2:00:00 PM;8,00;10,80;4,20;0,10;0,25;0,9;0,8;40,5;40,3;46,6;
8/17/2020 7:00:00 AM;0,30;11,10;5,00;0,10;0,25;1;0,9;37,3;36,7;42,6;
8/18/2020 7:00:00 PM;0,30;10,80;5,10;0,10;0,25;1;0,9;38,2;37,9;43,3;
8/20/2020 1:00:00 AM;5,00;10,60;5,10;0,10;0,26;1;0,9;38,3;37,9;43,5;
8/20/2020 5:00:00 AM;40,00;11,50;5,00;0,20;0,25;1;0,8;38,1;37,2;42,6;
8/20/2020 7:00:00 PM;0,30;11,30;5,00;0,10;0,25;1;0,8;38,2;37,9;43,4;
8/22/2020 3:00:00 AM;7,00;10,50;4,20;0,10;0,25;1;0,7;37,1;36,9;42,3;
8/23/2020 7:00:00 PM;4,00;11,20;5,00;0,10;0,25;1;0,7;37,4;36,9;42,2;
8/24/2020 7:00:00 AM;5,00;11,00;5,00;0,10;0,25;1;0,8;36,4;36,1;40;
8/26/2020 4:00:00 PM;89,00;11,10;4,20;0,10;0,25;1;0,9;37,7;37,8;42;
8/27/2020 8:00:00 AM;0,30;11,20;5,10;0,10;0,27;1;0,9;37,7;37,4;43,3;
8/27/2020 7:00:00 PM;3,00;11,30;5,00;0,10;0,25;1;0,8;38,3;37,6;43;
8/29/2020 2:00:00 AM;7,00;10,80;4,60;0,10;0,25;1;0,8;39;38,3;44,8;
8/30/2020 4:00:00 AM;5,00;11,20;0,10;0,10;0,25;1;0,7;37,8;37,6;42,5;
8/31/2020 4:00:00 AM;9,00;11,60;4,20;0,10;0,25;1;0,9;35,5;35;40,5;
;;;;;;;;;;;
